Date,Ticker,Company Name,Region,Sector,Price,Shares,Market Value,Allocation (%)
2025-05-19,BABA,Alibaba Group Holding Limited,Asia,Financials,356.57,602,214655.14,0.18
2025-05-19,SONY,Sony Group Corporation,Emerging Markets,Financials,392.35,9162,3594710.7,2.95
2025-05-19,TM,Toyota Motor Corporation,North America,Health Care,25.11,306,7683.66,0.01
2025-05-19,SFTBY,SoftBank Group Corp.,Emerging Markets,Materials,212.77,7821,1664074.17,1.37
2025-05-19,RELIANCE,Reliance Industries Limited,Asia,Materials,221.93,7958,1766118.94,1.45
2025-05-19,TCS,Tata Consultancy Services Limited,Europe,Utilities,20.63,2890,59620.7,0.05
2025-05-19,INFY,Infosys Limited,Asia,Consumer Staples,241.53,5216,1259820.48,1.03
2025-05-19,HDFCBANK,HDFC Bank Limited,Others,Technology,256.41,1857,476153.37,0.39
2025-05-19,ICICIBANK,ICICI Bank Limited,Asia,Financials,74.22,6474,480500.28,0.39
2025-05-19,KOTAKBANK,Kotak Mahindra Bank Limited,Asia,Consumer Staples,212.55,3342,710342.1,0.58
2025-05-19,HINDUNILVR,Hindustan Unilever Limited,Emerging Markets,Energy,107.15,6768,725191.2,0.59
2025-05-19,BHARTIARTL,Bharti Airtel Limited,North America,Materials,42.7,3257,139073.9,0.11
2025-05-19,LT,Larsen & Toubro Limited,North America,Technology,438.2,9889,4333359.8,3.55
2025-05-19,SBIN,State Bank of India,Others,Industrials,318.18,2793,888676.74,0.73
2025-05-19,MIZHY,"Mizuho Financial Group, Inc.",Others,Health Care,226.94,3727,845805.38,0.69
2025-05-19,MUFG,"Mitsubishi UFJ Financial Group, Inc.",Asia,Financials,208.34,5550,1156287.0,0.95
2025-05-19,CVS,CVS Health Corporation,Others,Industrials,162.87,5692,927056.04,0.76
2025-05-19,ANTM,"Anthem, Inc.",Emerging Markets,Consumer Staples,160.55,7492,1202840.6,0.99
2025-05-19,CMCSA,Comcast Corporation,Asia,Health Care,141.65,1406,199159.9,0.16
2025-05-19,CSX,CSX Corporation,Europe,Health Care,214.57,5964,1279695.48,1.05
2025-05-19,SPG,"Simon Property Group, Inc.",Asia,Consumer Staples,154.27,9001,1388584.27,1.14
2025-05-19,PLD,"Prologis, Inc.",Others,Real Estate,260.1,4513,1173831.3,0.96
2025-05-19,AMGN,Amgen Inc.,Europe,Technology,114.42,763,87302.46,0.07
2025-05-19,TXN,Texas Instruments Incorporated,North America,Energy,473.71,1595,755567.45,0.62
2025-05-19,QCOM,Qualcomm Incorporated,Others,Industrials,350.42,5332,1868439.44,1.53
2025-05-19,GILD,"Gilead Sciences, Inc.",North America,Consumer Discretionary,36.45,6685,243668.25,0.2
2025-05-19,BMY,Bristol-Myers Squibb Company,Others,Financials,483.66,3681,1780352.46,1.46
2025-05-19,BIIB,Biogen Inc.,North America,Utilities,344.25,7654,2634889.5,2.16
2025-05-19,LLY,Eli Lilly and Company,Emerging Markets,Consumer Staples,153.14,3796,581319.44,0.48
2025-05-19,ABT,Abbott Laboratories,Emerging Markets,Health Care,495.22,798,395185.56,0.32
2025-05-19,MDT,Medtronic plc,Asia,Consumer Staples,307.33,4837,1486555.21,1.22
2025-05-19,EL,The Estée Lauder Companies Inc.,North America,Consumer Staples,207.3,954,197764.2,0.16
2025-05-19,GS,"The Goldman Sachs Group, Inc.",Others,Materials,142.75,7492,1069483.0,0.88
2025-05-19,MS,Morgan Stanley,Others,Consumer Staples,314.02,5349,1679692.98,1.38
2025-05-19,BBY,"Best Buy Co., Inc.",Emerging Markets,Consumer Discretionary,273.17,5891,1609244.47,1.32
2025-05-19,DELL,Dell Technologies Inc.,Emerging Markets,Materials,275.34,5031,1385235.54,1.14
2025-05-19,LRCX,Lam Research Corporation,Others,Energy,45.56,4318,196728.08,0.16
2025-05-19,AMAT,"Applied Materials, Inc.",Europe,Consumer Staples,125.06,4489,561394.34,0.46
2025-05-19,ADI,"Analog Devices, Inc.",Europe,Consumer Discretionary,187.31,3031,567736.61,0.47
2025-05-19,MU,"Micron Technology, Inc.",North America,Energy,493.53,7225,3565754.25,2.93
2025-05-19,SNPS,"Synopsys, Inc.",North America,Consumer Staples,265.13,6387,1693385.31,1.39
2025-05-19,NOW,"ServiceNow, Inc.",North America,Consumer Discretionary,422.51,9439,3988071.89,3.27
2025-05-19,D,"Dominion Energy, Inc.",North America,Technology,255.25,2611,666457.75,0.55
2025-05-19,AEP,"American Electric Power Company, Inc.",North America,Technology,25.48,759,19339.32,0.02
2025-05-19,XEL,Xcel Energy Inc.,Others,Financials,166.1,6646,1103900.6,0.91
2025-05-19,PEG,Public Service Enterprise Group Incorporated,Asia,Industrials,355.68,8438,3001227.84,2.46
2025-05-19,DUKE,Duke Energy Corporation,Asia,Consumer Discretionary,175.3,1834,321500.2,0.26
2025-05-19,SO,The Southern Company,Asia,Real Estate,90.61,3076,278716.36,0.23
2025-05-20,AAPL,Apple Inc.,Asia,Technology,191.2,960,183552.0,0.15
2025-05-20,MSFT,Microsoft Corporation,Emerging Markets,Consumer Discretionary,94.55,5291,500264.05,0.41
2025-05-20,AMZN,"Amazon.com, Inc.",North America,Financials,295.34,5834,1723013.56,1.41
2025-05-20,GOOGL,Alphabet Inc.,Asia,Consumer Staples,223.75,4526,1012692.5,0.83
2025-05-20,META,"Meta Platforms, Inc.",North America,Materials,234.28,8422,1973106.16,1.62
2025-05-20,TSLA,"Tesla, Inc.",North America,Financials,15.46,869,13434.74,0.01
2025-05-20,NVDA,NVIDIA Corporation,North America,Consumer Staples,359.94,7049,2537217.06,2.08
2025-05-20,JPM,JPMorgan Chase & Co.,Asia,Consumer Staples,5.31,5151,27351.81,0.02
2025-05-20,BAC,Bank of America Corporation,North America,Consumer Staples,95.46,4655,444366.3,0.36
2025-05-20,WMT,Walmart Inc.,Europe,Utilities,308.34,6496,2002976.64,1.64
2025-05-20,PG,The Procter & Gamble Company,Asia,Technology,220.07,8766,1929133.62,1.58
2025-05-20,XOM,Exxon Mobil Corporation,Emerging Markets,Health Care,314.44,7949,2499483.56,2.05
2025-05-20,CVX,Chevron Corporation,Asia,Energy,28.16,2847,80171.52,0.07
2025-05-20,T,AT&T Inc.,North America,Consumer Discretionary,189.43,289,54745.27,0.04
2025-05-20,VZ,Verizon Communications Inc.,Others,Energy,49.62,3105,154070.1,0.13
2025-05-20,KO,The Coca-Cola Company,North America,Materials,103.93,7834,814187.62,0.67
2025-05-20,PFE,Pfizer Inc.,North America,Energy,488.78,1628,795733.84,0.65
2025-05-20,MRK,"Merck & Co., Inc.",Asia,Technology,27.8,3990,110922.0,0.09
2025-05-20,JNJ,Johnson & Johnson,Emerging Markets,Consumer Staples,340.85,5493,1872289.05,1.53
2025-05-20,UNH,UnitedHealth Group Incorporated,North America,Materials,473.37,8533,4039266.21,3.31
2025-05-20,HD,"The Home Depot, Inc.",North America,Industrials,194.6,7613,1481489.8,1.21
2025-05-20,DIS,The Walt Disney Company,Emerging Markets,Real Estate,53.06,9655,512294.3,0.42
2025-05-20,NFLX,"Netflix, Inc.",Others,Energy,125.67,7199,904698.33,0.74
2025-05-20,ORCL,Oracle Corporation,Asia,Financials,66.79,875,58441.25,0.05
2025-05-20,INTC,Intel Corporation,North America,Consumer Discretionary,21.91,3252,71251.32,0.06
2025-05-20,CSCO,"Cisco Systems, Inc.",Emerging Markets,Financials,132.67,4043,536384.81,0.44
2025-05-20,ADBE,Adobe Inc.,Others,Financials,380.89,1121,426977.69,0.35
2025-05-20,CRM,"Salesforce, Inc.",Europe,Utilities,270.79,3943,1067724.97,0.88
2025-05-20,PYPL,"PayPal Holdings, Inc.",Asia,Energy,96.58,6973,673452.34,0.55
2025-05-20,NKE,"NIKE, Inc.",North America,Energy,229.84,4397,1010606.48,0.83
2025-05-20,MCD,McDonald's Corporation,North America,Industrials,454.86,7729,3515612.94,2.88
2025-05-20,COST,Costco Wholesale Corporation,Emerging Markets,Financials,102.36,1116,114233.76,0.09
2025-05-20,SBUX,Starbucks Corporation,Asia,Health Care,485.23,7992,3877958.16,3.18
2025-05-20,BA,The Boeing Company,Asia,Consumer Discretionary,198.6,8629,1713719.4,1.4
2025-05-20,CAT,Caterpillar Inc.,North America,Materials,274.96,4987,1371225.52,1.12
2025-05-20,MMM,3M Company,North America,Consumer Staples,179.71,4959,891181.89,0.73
2025-05-20,GE,General Electric Company,North America,Energy,306.1,8784,2688782.4,2.2
2025-05-20,GM,General Motors Company,Emerging Markets,Technology,75.12,2162,162409.44,0.13
2025-05-20,F,Ford Motor Company,North America,Technology,87.22,8106,707005.32,0.58
2025-05-20,SAP,SAP SE,Emerging Markets,Materials,217.02,2127,461601.54,0.38
2025-05-20,ASML,ASML Holding N.V.,North America,Consumer Discretionary,150.95,5358,808790.1,0.66
2025-05-20,RY,Royal Bank of Canada,Others,Real Estate,102.25,491,50204.75,0.04
2025-05-20,HSBC,HSBC Holdings plc,Others,Energy,368.02,5992,2205175.84,1.81
2025-05-20,BP,BP p.l.c.,North America,Utilities,459.43,6284,2887058.12,2.37
2025-05-20,RDSA,Royal Dutch Shell plc,Europe,Utilities,454.71,8492,3861397.32,3.16
2025-05-20,GSK,GlaxoSmithKline plc,North America,Health Care,312.22,3204,1000352.88,0.82
2025-05-20,UL,Unilever PLC,North America,Consumer Staples,36.42,2554,93016.68,0.08
2025-05-20,NVS,Novartis AG,Asia,Real Estate,330.89,9096,3009775.44,2.47
2025-05-20,RHHBY,Roche Holding AG,Europe,Real Estate,370.25,8254,3056043.5,2.5
2025-05-20,NTT,Nippon Telegraph and Telephone Corporation,Europe,Consumer Discretionary,279.55,8210,2295105.5,1.88
2025-05-20,TCEHY,Tencent Holdings Limited,Others,Health Care,363.68,3940,1432899.2,1.17
2025-05-20,BABA,Alibaba Group Holding Limited,Asia,Financials,358.18,602,215624.36,0.18
2025-05-20,SONY,Sony Group Corporation,Emerging Markets,Financials,391.59,9162,3587747.58,2.94
2025-05-20,TM,Toyota Motor Corporation,North America,Health Care,25.0,306,7650.0,0.01
2025-05-20,SFTBY,SoftBank Group Corp.,Emerging Markets,Materials,212.91,7821,1665169.11,1.36
2025-05-20,RELIANCE,Reliance Industries Limited,Asia,Materials,220.15,7958,1751953.7,1.44
2025-05-20,TCS,Tata Consultancy Services Limited,Europe,Utilities,20.83,2890,60198.7,0.05
2025-05-20,INFY,Infosys Limited,Asia,Consumer Staples,241.39,5216,1259090.24,1.03
2025-05-20,HDFCBANK,HDFC Bank Limited,Others,Technology,256.54,1857,476394.78,0.39
2025-05-20,ICICIBANK,ICICI Bank Limited,Asia,Financials,72.33,6474,468264.42,0.38
2025-05-20,KOTAKBANK,Kotak Mahindra Bank Limited,Asia,Consumer Staples,211.03,3342,705262.26,0.58
2025-05-20,HINDUNILVR,Hindustan Unilever Limited,Emerging Markets,Energy,107.49,6768,727492.32,0.6
2025-05-20,BHARTIARTL,Bharti Airtel Limited,North America,Materials,43.84,3257,142786.88,0.12
2025-05-20,LT,Larsen & Toubro Limited,North America,Technology,438.12,9889,4332568.68,3.55
2025-05-20,SBIN,State Bank of India,Others,Industrials,319.75,2793,893061.75,0.73
2025-05-20,MIZHY,"Mizuho Financial Group, Inc.",Others,Health Care,232.12,3727,865111.24,0.71
2025-05-20,MUFG,"Mitsubishi UFJ Financial Group, Inc.",Asia,Financials,207.94,5550,1154067.0,0.95
2025-05-20,CVS,CVS Health Corporation,Others,Industrials,165.85,5692,944018.2,0.77
2025-05-20,ANTM,"Anthem, Inc.",Emerging Markets,Consumer Staples,164.15,7492,1229811.8,1.01
2025-05-20,CMCSA,Comcast Corporation,Asia,Health Care,140.78,1406,197936.68,0.16
2025-05-20,CSX,CSX Corporation,Europe,Health Care,214.02,5964,1276415.28,1.05
2025-05-20,SPG,"Simon Property Group, Inc.",Asia,Consumer Staples,154.53,9001,1390924.53,1.14
2025-05-20,PLD,"Prologis, Inc.",Others,Real Estate,259.86,4513,1172748.18,0.96
2025-05-20,AMGN,Amgen Inc.,Europe,Technology,115.67,763,88256.21,0.07
2025-05-20,TXN,Texas Instruments Incorporated,North America,Energy,461.11,1595,735470.45,0.6
2025-05-20,QCOM,Qualcomm Incorporated,Others,Industrials,344.32,5332,1835914.24,1.5
2025-05-20,GILD,"Gilead Sciences, Inc.",North America,Consumer Discretionary,37.09,6685,247946.65,0.2
2025-05-20,BMY,Bristol-Myers Squibb Company,Others,Financials,478.57,3681,1761616.17,1.44
2025-05-20,BIIB,Biogen Inc.,North America,Utilities,348.63,7654,2668414.02,2.19
2025-05-20,LLY,Eli Lilly and Company,Emerging Markets,Consumer Staples,153.3,3796,581926.8,0.48
2025-05-20,ABT,Abbott Laboratories,Emerging Markets,Health Care,503.79,798,402024.42,0.33
2025-05-20,MDT,Medtronic plc,Asia,Consumer Staples,307.05,4837,1485200.85,1.22
2025-05-20,EL,The Estée Lauder Companies Inc.,North America,Consumer Staples,209.02,954,199405.08,0.16
2025-05-20,GS,"The Goldman Sachs Group, Inc.",Others,Materials,141.01,7492,1056446.92,0.87
2025-05-20,MS,Morgan Stanley,Others,Consumer Staples,308.27,5349,1648936.23,1.35
2025-05-20,BBY,"Best Buy Co., Inc.",Emerging Markets,Consumer Discretionary,270.82,5891,1595400.62,1.31
2025-05-20,DELL,Dell Technologies Inc.,Emerging Markets,Materials,284.65,5031,1432074.15,1.17
2025-05-20,LRCX,Lam Research Corporation,Others,Energy,44.87,4318,193748.66,0.16
2025-05-20,AMAT,"Applied Materials, Inc.",Europe,Consumer Staples,125.18,4489,561933.02,0.46
2025-05-20,ADI,"Analog Devices, Inc.",Europe,Consumer Discretionary,187.66,3031,568797.46,0.47
2025-05-20,MU,"Micron Technology, Inc.",North America,Energy,500.03,7225,3612716.75,2.96
2025-05-20,SNPS,"Synopsys, Inc.",North America,Consumer Staples,272.61,6387,1741160.07,1.43
2025-05-20,NOW,"ServiceNow, Inc.",North America,Consumer Discretionary,420.55,9439,3969571.45,3.25
2025-05-20,D,"Dominion Energy, Inc.",North America,Technology,256.7,2611,670243.7,0.55
2025-05-20,AEP,"American Electric Power Company, Inc.",North America,Technology,25.2,759,19126.8,0.02
2025-05-20,XEL,Xcel Energy Inc.,Others,Financials,163.96,6646,1089678.16,0.89
2025-05-20,PEG,Public Service Enterprise Group Incorporated,Asia,Industrials,355.65,8438,3000974.7,2.46
2025-05-20,DUKE,Duke Energy Corporation,Asia,Consumer Discretionary,179.16,1834,328579.44,0.27
2025-05-20,SO,The Southern Company,Asia,Real Estate,91.1,3076,280223.6,0.23
2025-05-21,AAPL,Apple Inc.,Asia,Technology,190.48,960,182860.8,0.15
2025-05-21,MSFT,Microsoft Corporation,Emerging Markets,Consumer Discretionary,94.67,5291,500898.97,0.41
2025-05-21,AMZN,"Amazon.com, Inc.",North America,Financials,302.68,5834,1765835.12,1.45
2025-05-21,GOOGL,Alphabet Inc.,Asia,Consumer Staples,222.39,4526,1006537.14,0.83
2025-05-21,META,"Meta Platforms, Inc.",North America,Materials,233.0,8422,1962326.0,1.61
2025-05-21,TSLA,"Tesla, Inc.",North America,Financials,15.16,869,13174.04,0.01
2025-05-21,NVDA,NVIDIA Corporation,North America,Consumer Staples,356.07,7049,2509937.43,2.06
2025-05-21,JPM,JPMorgan Chase & Co.,Asia,Consumer Staples,5.45,5151,28072.95,0.02
2025-05-21,BAC,Bank of America Corporation,North America,Consumer Staples,95.63,4655,445157.65,0.37
2025-05-21,WMT,Walmart Inc.,Europe,Utilities,313.5,6496,2036496.0,1.67
2025-05-21,PG,The Procter & Gamble Company,Asia,Technology,222.04,8766,1946402.64,1.6
2025-05-21,XOM,Exxon Mobil Corporation,Emerging Markets,Health Care,305.16,7949,2425716.84,1.99
2025-05-21,CVX,Chevron Corporation,Asia,Energy,27.88,2847,79374.36,0.07
2025-05-21,T,AT&T Inc.,North America,Consumer Discretionary,184.17,289,53225.13,0.04
2025-05-21,VZ,Verizon Communications Inc.,Others,Energy,49.06,3105,152331.3,0.12
2025-05-21,KO,The Coca-Cola Company,North America,Materials,103.4,7834,810035.6,0.66
2025-05-21,PFE,Pfizer Inc.,North America,Energy,498.8,1628,812046.4,0.67
2025-05-21,MRK,"Merck & Co., Inc.",Asia,Technology,27.45,3990,109525.5,0.09
2025-05-21,JNJ,Johnson & Johnson,Emerging Markets,Consumer Staples,344.66,5493,1893217.38,1.55
2025-05-21,UNH,UnitedHealth Group Incorporated,North America,Materials,478.35,8533,4081760.55,3.35
2025-05-21,HD,"The Home Depot, Inc.",North America,Industrials,196.87,7613,1498771.31,1.23
2025-05-21,DIS,The Walt Disney Company,Emerging Markets,Real Estate,53.74,9655,518859.7,0.43
2025-05-21,NFLX,"Netflix, Inc.",Others,Energy,122.94,7199,885045.06,0.73
2025-05-21,ORCL,Oracle Corporation,Asia,Financials,65.91,875,57671.25,0.05
2025-05-21,INTC,Intel Corporation,North America,Consumer Discretionary,21.9,3252,71218.8,0.06
2025-05-21,CSCO,"Cisco Systems, Inc.",Emerging Markets,Financials,129.83,4043,524902.69,0.43
2025-05-21,ADBE,Adobe Inc.,Others,Financials,379.12,1121,424993.52,0.35
2025-05-21,CRM,"Salesforce, Inc.",Europe,Utilities,260.21,3943,1026008.03,0.84
2025-05-21,PYPL,"PayPal Holdings, Inc.",Asia,Energy,97.81,6973,682029.13,0.56
2025-05-21,NKE,"NIKE, Inc.",North America,Energy,226.98,4397,998031.06,0.82
2025-05-21,MCD,McDonald's Corporation,North America,Industrials,448.14,7729,3463674.06,2.84
2025-05-21,COST,Costco Wholesale Corporation,Emerging Markets,Financials,102.41,1116,114289.56,0.09
2025-05-21,SBUX,Starbucks Corporation,Asia,Health Care,479.49,7992,3832084.08,3.14
2025-05-21,BA,The Boeing Company,Asia,Consumer Discretionary,197.2,8629,1701638.8,1.4
2025-05-21,CAT,Caterpillar Inc.,North America,Materials,274.45,4987,1368682.15,1.12
2025-05-21,MMM,3M Company,North America,Consumer Staples,179.65,4959,890884.35,0.73
2025-05-21,GE,General Electric Company,North America,Energy,303.34,8784,2664538.56,2.18
2025-05-21,GM,General Motors Company,Emerging Markets,Technology,74.04,2162,160074.48,0.13
2025-05-21,F,Ford Motor Company,North America,Technology,88.06,8106,713814.36,0.59
2025-05-21,SAP,SAP SE,Emerging Markets,Materials,213.07,2127,453199.89,0.37
2025-05-21,ASML,ASML Holding N.V.,North America,Consumer Discretionary,150.06,5358,804021.48,0.66
2025-05-21,RY,Royal Bank of Canada,Others,Real Estate,102.81,491,50479.71,0.04
2025-05-21,HSBC,HSBC Holdings plc,Others,Energy,364.73,5992,2185462.16,1.79
2025-05-21,BP,BP p.l.c.,North America,Utilities,460.1,6284,2891268.4,2.37
2025-05-21,RDSA,Royal Dutch Shell plc,Europe,Utilities,460.03,8492,3906574.76,3.2
2025-05-21,GSK,GlaxoSmithKline plc,North America,Health Care,310.27,3204,994105.08,0.82
2025-05-21,UL,Unilever PLC,North America,Consumer Staples,35.97,2554,91867.38,0.08
2025-05-21,NVS,Novartis AG,Asia,Real Estate,334.2,9096,3039883.2,2.49
2025-05-21,RHHBY,Roche Holding AG,Europe,Real Estate,363.24,8254,2998182.96,2.46
2025-05-21,NTT,Nippon Telegraph and Telephone Corporation,Europe,Consumer Discretionary,279.04,8210,2290918.4,1.88
2025-05-21,TCEHY,Tencent Holdings Limited,Others,Health Care,356.9,3940,1406186.0,1.15
2025-05-21,BABA,Alibaba Group Holding Limited,Asia,Financials,356.25,602,214462.5,0.18
2025-05-21,SONY,Sony Group Corporation,Emerging Markets,Financials,393.31,9162,3603506.22,2.95
2025-05-21,TM,Toyota Motor Corporation,North America,Health Care,24.64,306,7539.84,0.01
2025-05-21,SFTBY,SoftBank Group Corp.,Emerging Markets,Materials,215.23,7821,1683313.83,1.38
2025-05-21,RELIANCE,Reliance Industries Limited,Asia,Materials,221.57,7958,1763254.06,1.45
2025-05-21,TCS,Tata Consultancy Services Limited,Europe,Utilities,20.91,2890,60429.9,0.05
2025-05-21,INFY,Infosys Limited,Asia,Consumer Staples,236.15,5216,1231758.4,1.01
2025-05-21,HDFCBANK,HDFC Bank Limited,Others,Technology,257.1,1857,477434.7,0.39
2025-05-21,ICICIBANK,ICICI Bank Limited,Asia,Financials,74.74,6474,483866.76,0.4
2025-05-21,KOTAKBANK,Kotak Mahindra Bank Limited,Asia,Consumer Staples,207.5,3342,693465.0,0.57
2025-05-21,HINDUNILVR,Hindustan Unilever Limited,Emerging Markets,Energy,104.29,6768,705834.72,0.58
2025-05-21,BHARTIARTL,Bharti Airtel Limited,North America,Materials,43.06,3257,140246.42,0.12
2025-05-21,LT,Larsen & Toubro Limited,North America,Technology,447.56,9889,4425920.84,3.63
2025-05-21,SBIN,State Bank of India,Others,Industrials,316.57,2793,884180.01,0.73
2025-05-21,MIZHY,"Mizuho Financial Group, Inc.",Others,Health Care,234.3,3727,873236.1,0.72
2025-05-21,MUFG,"Mitsubishi UFJ Financial Group, Inc.",Asia,Financials,211.72,5550,1175046.0,0.96
2025-05-21,CVS,CVS Health Corporation,Others,Industrials,167.59,5692,953922.28,0.78
2025-05-21,ANTM,"Anthem, Inc.",Emerging Markets,Consumer Staples,162.77,7492,1219472.84,1.0
2025-05-21,CMCSA,Comcast Corporation,Asia,Health Care,139.03,1406,195476.18,0.16
2025-05-21,CSX,CSX Corporation,Europe,Health Care,219.97,5964,1311901.08,1.08
2025-05-21,SPG,"Simon Property Group, Inc.",Asia,Consumer Staples,156.22,9001,1406136.22,1.15
2025-05-21,PLD,"Prologis, Inc.",Others,Real Estate,258.25,4513,1165482.25,0.96
2025-05-21,AMGN,Amgen Inc.,Europe,Technology,115.87,763,88408.81,0.07
2025-05-21,TXN,Texas Instruments Incorporated,North America,Energy,476.1,1595,759379.5,0.62
2025-05-21,QCOM,Qualcomm Incorporated,Others,Industrials,355.86,5332,1897445.52,1.56
2025-05-21,GILD,"Gilead Sciences, Inc.",North America,Consumer Discretionary,36.62,6685,244804.7,0.2
2025-05-21,BMY,Bristol-Myers Squibb Company,Others,Financials,478.34,3681,1760769.54,1.44
2025-05-21,BIIB,Biogen Inc.,North America,Utilities,347.37,7654,2658769.98,2.18
2025-05-21,LLY,Eli Lilly and Company,Emerging Markets,Consumer Staples,152.73,3796,579763.08,0.48
2025-05-21,ABT,Abbott Laboratories,Emerging Markets,Health Care,494.53,798,394634.94,0.32
2025-05-21,MDT,Medtronic plc,Asia,Consumer Staples,304.67,4837,1473688.79,1.21
2025-05-21,EL,The Estée Lauder Companies Inc.,North America,Consumer Staples,209.16,954,199538.64,0.16
2025-05-21,GS,"The Goldman Sachs Group, Inc.",Others,Materials,143.64,7492,1076150.88,0.88
2025-05-21,MS,Morgan Stanley,Others,Consumer Staples,318.99,5349,1706277.51,1.4
2025-05-21,BBY,"Best Buy Co., Inc.",Emerging Markets,Consumer Discretionary,266.67,5891,1570952.97,1.29
